FactID,CustomerID,TotalSpent,TotalFrequency,ChurnFlag,Cluster
130,25857,3756.99,1,1,1
131,16484,4613.96,2,1,1
132,16623,6600.43,2,1,1
133,11000,9115.13,3,1,1
134,11029,7254.65,3,1,1
135,27615,6628.46,2,1,1
136,17956,2686.65,2,1,1
137,16345,4611.43,2,1,1
138,16521,5192.13,2,1,1
139,16636,6555.68,2,1,1
140,21710,4626.89,2,1,1
141,13583,9254.7,3,1,1
142,11593,6528.62,2,1,1
143,21741,4560.61,2,1,1
144,13585,9246.96,3,1,1
145,14510,3355.19,2,1,1
146,16523,5192.13,2,1,1
147,11611,6489.95,2,1,1
148,13259,8678.11,4,1,1
149,16350,6523.03,2,1,1
150,11004,9056.59,3,1,1
151,11026,7266.25,3,1,1
152,27662,6627.05,2,1,1
153,28390,3729.36,1,1,1
154,25866,5087.22,2,1,1
155,16494,6587.13,2,1,1
156,16496,6586.05,2,1,1
157,16519,5251.79,2,1,1
158,16528,5192.13,2,1,1
159,11006,8971.53,3,1,1
160,27651,6654.11,2,1,1
161,27663,6682.29,2,1,1
162,27669,6627.05,2,1,1
163,19942,3352.65,2,1,1
164,14558,1688.52,2,1,1
165,16349,6517.58,2,1,1
166,11008,8957.47,3,1,1
167,25250,2081.33,2,1,1
168,27605,3953.99,1,1,1
169,27611,3953.99,1,1,1
170,16347,6539.94,2,1,1
171,11028,7154.46,3,1,1
172,13584,9239.23,3,1,1
173,21727,4566.13,2,1,1
174,28393,5016.1,2,1,1
175,19802,3729.36,1,1,1
176,26620,772.5,1,1,1
177,11009,8940.92,3,1,1
178,27641,6588.39,2,1,1
179,27673,3953.99,1,1,1
180,17957,2690.76,2,1,1
181,13406,8067.11,4,1,1
182,16630,6600.43,2,1,1
184,29620,74518.69,12,1,1
186,29548,5112.81,4,1,1
188,29717,88435.34,7,1,1
190,29892,114722.08,9,1,1
192,29855,3901.35,3,1,1
193,29813,54905.15,4,1,1
194,29988,24594.0,8,1,1
195,29946,172785.86,8,1,1
196,29680,69588.44,8,1,1
197,30074,516254.8,8,1,1
198,29961,79847.82,10,1,1
199,29865,77139.59,12,1,1
200,29773,95924.02,4,1,1
201,29749,155077.55,4,1,1
202,29945,186803.43,11,1,1
203,29764,10131.48,8,1,1
204,30056,158661.45,4,1,1
206,29571,107313.1,12,1,1
207,29582,172671.12,4,1,1
208,30042,13583.52,11,1,1
210,29675,46795.98,12,1,1
212,30100,99440.32,4,1,1
213,29703,465429.57,8,1,1
214,29569,24082.9,10,1,1
215,29624,486937.59,4,1,1
216,30091,99385.97,8,1,1
217,29925,182777.78,7,1,1
218,29664,48054.06,4,1,1
219,29510,141133.31,4,1,1
221,30111,311393.15,4,1,1
222,29558,51533.26,9,1,1
224,29861,460174.86,4,1,1
227,29493,6387.53,4,1,1
228,29794,80262.25,4,1,1
229,29830,38452.47,10,1,1
230,29515,326175.98,8,1,1
231,29807,77862.14,4,1,1
233,29905,1416.93,2,1,1
234,30004,122815.47,7,1,1
235,29742,156366.75,4,1,1
236,29866,45690.85,6,1,1
239,29906,98531.01,4,1,1
242,29507,502367.04,8,1,1
243,29968,168144.54,11,1,1
244,30095,257252.76,12,1,1
247,29791,62725.13,4,1,1
248,29731,58418.64,12,1,1
249,29787,167452.6,6,1,1
252,29853,350717.99,8,1,1
253,29774,197614.5,4,1,1
255,29688,10718.03,5,1,1
256,29511,163046.64,11,1,1
257,29885,435986.13,8,1,1
258,22041,4604.79,2,1,1
259,12124,14581.18,5,1,1
260,28066,6627.05,2,1,1
261,16743,6708.0,2,1,1
262,13546,6539.66,2,1,1
263,28018,3953.99,1,1,1
264,12132,14690.17,5,1,1
265,16661,6528.62,2,1,1
266,11055,9025.65,3,1,1
267,16662,4813.06,2,1,1
268,16740,6739.51,2,1,1
269,25270,2049.31,2,1,1
270,28038,6613.77,2,1,1
271,13548,6528.62,2,1,1
272,16741,6692.55,2,1,1
273,11031,7158.85,3,1,1
274,11034,7172.91,3,1,1
275,20048,3472.41,2,1,1
276,28065,6627.05,2,1,1
277,17047,4804.27,2,1,1
278,16686,4594.29,2,1,1
279,16659,6489.95,2,1,1
280,25294,2080.24,2,1,1
281,13600,9348.58,3,1,1
282,17051,6696.85,2,1,1
283,14565,1661.45,2,1,1
284,11054,9086.44,3,1,1
285,16675,4845.46,2,1,1
286,16687,6708.0,2,1,1
287,16712,4881.61,2,1,1
288,11047,7273.47,3,1,1
289,27726,3953.99,1,1,1
290,28014,3953.99,1,1,1
291,16696,4979.97,2,1,1
292,16639,6528.62,2,1,1
293,20049,3481.19,2,1,1
294,13602,9255.79,3,1,1
295,13661,6534.13,2,1,1
296,11030,7150.81,3,1,1
297,28068,6654.11,2,1,1
298,16658,6489.95,2,1,1
299,11035,7128.7,3,1,1
300,11046,7311.58,3,1,1
301,28031,6682.29,2,1,1
302,28076,6627.05,2,1,1
303,16685,4622.47,2,1,1
304,16745,6653.89,2,1,1
305,11038,7113.25,3,1,1
306,11039,7333.42,3,1,1
307,28040,3953.99,1,1,1
308,28067,6627.05,2,1,1
309,28071,6598.32,2,1,1
310,16684,4594.86,2,1,1
311,16657,6520.11,2,1,1
312,21939,4600.38,2,1,1
313,28039,3953.99,1,1,1
314,13687,6489.95,2,1,1
315,13540,7213.64,3,1,1
316,28063,6659.07,2,1,1
317,16703,6730.1,2,1,1
318,28030,6598.32,2,1,1
319,14576,1631.57,2,1,1
320,11048,7180.56,3,1,1
321,16664,4837.41,2,1,1
322,25271,2049.31,2,1,1
323,28017,3953.99,1,1,1
324,13545,6528.62,2,1,1
325,13515,6572.81,2,1,1
326,28070,6627.05,2,1,1
327,28042,3953.99,1,1,1
328,11244,7929.2,4,1,1
329,28083,6588.39,2,1,1
330,25872,6430.05,2,1,1
331,16660,6517.58,2,1,1
332,16638,6601.52,2,1,1
333,16929,5230.79,2,1,1
334,27681,3953.99,1,1,1
335,21813,4550.68,2,1,1
336,27920,6627.05,2,1,1
337,28022,3953.99,1,1,1
338,11033,7177.3,3,1,1
339,28047,3953.99,1,1,1
340,27918,6628.46,2,1,1
341,28044,3953.99,1,1,1
342,14572,3332.76,2,1,1
343,19325,4690.97,3,1,1
344,28061,6636.98,2,1,1
345,26629,772.5,1,1,1
346,16744,6708.0,2,1,1
347,25555,1411.7,2,1,1
348,27678,3953.99,1,1,1
349,27759,3953.99,1,1,1
350,13680,6572.81,2,1,1
351,13514,6600.43,2,1,1
352,11052,8985.11,3,1,1
353,16928,5192.13,2,1,1
354,27917,3953.99,1,1,1
355,13693,7924.6,3,1,1
356,11247,7880.32,4,1,1
357,28078,6642.5,2,1,1
358,25876,5115.12,2,1,1
359,16701,4891.55,2,1,1
360,16931,5268.34,2,1,1
361,11032,7210.74,3,1,1
362,22008,4576.06,2,1,1
363,19830,6371.34,2,1,1
364,16663,4941.27,2,1,1
365,16708,4869.45,2,1,1
366,17045,4951.21,2,1,1
367,21921,4577.74,2,1,1
368,17048,4842.94,2,1,1
369,11050,5533.07,3,1,1
370,12131,14658.92,5,1,1
371,13689,6517.58,2,1,1
372,11243,7916.5,4,1,1
373,16693,6696.85,2,1,1
374,16702,6653.89,2,1,1
375,16707,4837.41,2,1,1
376,17046,4936.85,2,1,1
377,25272,2070.3,2,1,1
378,25868,6406.83,2,1,1
379,17971,2690.76,2,1,1
380,11057,8937.28,3,1,1
381,16742,6679.27,2,1,1
382,13678,6556.24,2,1,1
383,13679,6556.25,2,1,1
384,13690,7914.1,3,1,1
385,28394,5033.79,2,1,1
386,28064,6588.39,2,1,1
387,25878,5138.06,2,1,1
388,16713,6730.1,2,1,1
389,13538,6528.62,2,1,1
390,17050,4968.33,2,1,1
391,13691,6604.3,2,1,1
392,16637,6520.11,2,1,1
393,19329,2717.27,2,1,1
394,13542,6567.28,2,1,1
395,13543,6545.17,2,1,1
396,13559,7192.12,3,1,1
397,14577,1663.97,2,1,1
398,11056,9069.29,3,1,1
399,16688,6719.62,2,1,1
400,25273,2097.37,2,1,1
401,27919,6648.04,2,1,1
402,28041,3953.99,1,1,1
403,11240,8382.78,4,1,1
404,22050,4597.39,2,1,1
405,28062,6588.39,2,1,1
406,25867,6391.39,2,1,1
407,17049,4804.27,2,1,1
408,13541,7223.04,3,1,1
409,28395,5032.68,2,1,1
410,19829,5009.46,2,1,1
411,16691,4941.27,2,1,1
412,16656,6552.9,2,1,1
413,11044,7199.41,3,1,1
414,29592,121101.82,12,1,1
415,29632,50997.88,4,1,1
416,30003,12066.92,4,1,1
419,29967,164650.48,4,1,1
420,29733,1627.21,2,1,1
422,29803,107198.46,12,1,1
423,29969,28114.48,6,1,1
424,29494,18275.1,9,1,1
427,29944,8701.42,3,1,1
428,29842,156413.24,10,1,1
429,29673,25153.61,4,1,1
430,29659,49438.71,7,1,1
431,29914,6671.29,3,1,1
432,30090,93981.02,4,1,1
433,29708,69381.65,4,1,1
434,29711,15123.67,6,1,1
435,29748,150169.16,4,1,1
436,29655,59709.51,4,1,1
438,29504,181006.13,4,1,1
442,29681,14400.57,5,1,1
444,29755,27968.31,4,1,1
445,29769,92300.55,4,1,1
446,30068,1194.46,4,1,1
447,30106,113982.0,8,1,1
448,29686,32409.85,4,1,1
449,29921,217615.38,4,1,1
451,29740,72854.47,8,1,1
452,29649,295434.83,8,1,1
454,29746,205886.81,8,1,1
455,29525,298046.61,4,1,1
457,29581,106288.06,9,1,1
458,29883,98196.57,5,1,1
461,29710,277612.91,4,1,1
462,29518,13921.03,5,1,1
463,29498,5835.05,8,1,1
465,29872,10196.2,6,1,1
467,29562,665292.38,8,1,1
468,30088,83314.86,4,1,1
470,29642,139680.92,9,1,1
471,29487,77585.2,11,1,1
472,29484,147804.92,7,1,1
474,13821,6564.3,2,1,1
475,28156,6627.05,2,1,1
476,22114,4622.47,2,1,1
477,17328,4848.45,2,1,1
478,13765,7903.06,3,1,1
479,13792,7973.77,3,1,1
480,12221,6594.92,2,1,1
481,13572,6569.48,2,1,1
482,22058,4550.68,2,1,1
483,28145,3953.99,1,1,1
484,17071,4881.61,2,1,1
485,17309,6663.82,2,1,1
486,17310,6662.67,2,1,1
487,17320,4852.87,2,1,1
488,28172,3953.99,1,1,1
489,17242,4847.89,2,1,1
490,17315,6663.82,2,1,1
491,25558,1444.3,2,1,1
492,11334,9010.19,3,1,1
493,28168,3953.99,1,1,1
494,28181,3953.99,1,1,1
495,28131,6642.5,2,1,1
496,25887,5164.01,2,1,1
497,17055,4804.27,2,1,1
498,13567,6558.78,2,1,1
499,28182,3953.99,1,1,1
500,28186,3953.99,1,1,1
501,13772,6550.72,2,1,1
502,28185,3953.99,1,1,1
503,28193,6648.04,2,1,1
504,28088,3953.99,1,1,1
505,17065,4881.61,2,1,1
506,14581,1727.17,2,1,1
507,17308,6653.89,2,1,1
508,12211,6528.62,2,1,1
509,28179,3953.99,1,1,1
510,28183,3953.99,1,1,1
511,28112,3953.99,1,1,1
512,14584,3359.24,2,1,1
513,13784,7887.6,3,1,1
514,17229,4941.27,2,1,1
515,17246,4839.94,2,1,1
516,12220,6575.0,2,1,1
517,11337,9019.01,3,1,1
518,28097,3953.99,1,1,1
519,25888,5109.32,2,1,1
520,11058,9114.06,3,1,1
521,17294,4813.06,2,1,1
522,17299,4842.94,2,1,1
523,28158,6627.05,2,1,1
524,17247,4898.16,2,1,1
525,17280,6729.0,2,1,1
526,25889,5139.48,2,1,1
527,17069,4891.55,2,1,1
528,20052,3551.5,2,1,1
529,20054,3688.53,2,1,1
530,11061,8982.57,3,1,1
531,17248,4842.94,2,1,1
532,13570,6572.79,2,1,1
533,28164,3953.99,1,1,1
534,17064,4979.97,2,1,1
535,17249,4891.55,2,1,1
536,17295,4853.98,2,1,1
537,28096,3953.99,1,1,1
538,28150,3953.99,1,1,1
539,17259,4867.23,2,1,1
540,17312,4941.27,2,1,1
541,12254,6594.89,2,1,1
542,28159,6606.36,2,1,1
543,28149,3953.99,1,1,1
544,14580,1622.79,2,1,1
545,17285,6732.99,2,1,1
546,11250,7863.46,4,1,1
547,28162,3953.99,1,1,1
548,25879,5148.0,2,1,1
549,17257,4951.21,2,1,1
550,13783,6580.53,2,1,1
551,28154,6598.32,2,1,1
552,28170,3953.99,1,1,1
553,17351,6760.05,2,1,1
554,17332,4951.21,2,1,1
555,28180,3953.99,1,1,1
556,13560,7130.82,3,1,1
557,28148,3953.99,1,1,1
558,22109,6598.32,2,1,1
559,14590,1765.3,2,1,1
560,11060,9009.09,3,1,1
561,17255,4908.68,2,1,1
562,17258,4804.27,2,1,1
563,13847,6506.51,2,1,1
564,28166,3953.99,1,1,1
565,20060,3472.41,2,1,1
566,12255,6500.99,2,1,1
567,28401,3729.36,1,1,1
568,11333,9020.46,3,1,1
569,25886,5164.01,2,1,1
570,17241,4842.94,2,1,1
571,17973,2819.25,2,1,1
572,17334,4804.27,2,1,1
573,13841,7320.18,3,1,1
574,28184,3953.99,1,1,1
575,22117,4594.86,2,1,1
576,28191,6627.05,2,1,1
577,17056,4881.61,2,1,1
578,17079,4881.61,2,1,1
579,12217,6489.95,2,1,1
580,13580,8050.55,4,1,1
581,28155,6588.39,2,1,1
582,28163,3953.99,1,1,1
583,17278,4842.94,2,1,1
584,17329,6653.89,2,1,1
585,25556,1384.64,2,1,1
586,12219,6593.79,2,1,1
587,17233,4804.27,2,1,1
588,17240,4845.46,2,1,1
589,13845,6538.55,2,1,1
590,28167,3953.99,1,1,1
591,28190,6627.05,2,1,1
592,13777,7897.51,3,1,1
593,28099,6654.11,2,1,1
594,28142,3953.99,1,1,1
595,14585,3332.76,2,1,1
596,17232,4804.27,2,1,1
597,12212,6517.58,2,1,1
598,13579,8061.02,4,1,1
599,28171,3953.99,1,1,1
600,28194,6756.87,2,1,1
601,22112,6682.29,2,1,1
602,20149,3497.79,2,1,1
603,17279,6653.89,2,1,1
604,17286,6662.67,2,1,1
605,25557,1395.47,2,1,1
606,25559,1384.64,2,1,1
607,19339,4769.07,3,1,1
608,13820,6528.63,2,1,1
609,14589,1622.79,2,1,1
610,13794,7969.33,3,1,1
611,13846,6556.24,2,1,1
612,12256,6578.34,2,1,1
613,28147,3953.99,1,1,1
614,28152,6657.98,2,1,1
615,17256,4820.83,2,1,1
616,17277,4891.55,2,1,1
617,17288,4891.0,2,1,1
618,17293,4881.61,2,1,1
619,17326,4936.87,2,1,1
620,29886,64.24,1,1,1
621,29565,5537.26,8,1,1
625,29898,167617.42,4,1,1
626,30052,21863.9,4,1,1
627,29974,87227.32,5,1,1
629,29566,29903.95,4,1,1
630,29682,13525.14,8,1,1
631,29747,20895.92,9,1,1
632,29973,34242.49,7,1,1
635,29596,41264.04,4,1,1
637,29811,170328.56,12,1,1
638,29824,92111.64,9,1,1
639,29889,303576.43,8,1,1
642,29849,5959.04,7,1,1
643,30096,148385.95,9,1,1
644,29958,173851.93,9,1,1
646,29661,72303.45,6,1,1
647,29759,29004.63,4,1,1
649,29912,92154.31,4,1,1
650,30084,9336.93,8,1,1
651,29610,18398.33,7,1,1
652,29606,16030.15,10,1,1
653,29718,102216.08,8,1,1
655,29570,61854.54,12,1,1
656,29533,93332.01,12,1,1
658,29491,98273.55,4,1,1
659,29549,238924.26,8,1,1
660,14429,9275.69,3,1,1
661,28222,3953.99,1,1,1
662,17975,1678.03,2,1,1
663,11072,9054.37,3,1,1
664,12267,6489.95,2,1,1
665,11095,9014.6,3,1,1
666,17728,5226.68,2,1,1
667,28598,3953.99,1,1,1
668,17921,5192.13,2,1,1
669,17904,5230.79,2,1,1
670,28199,3953.99,1,1,1
671,28257,6603.83,2,1,1
672,17510,4828.56,2,1,1
673,11343,9085.3,3,1,1
674,28273,6588.39,2,1,1
675,20165,3526.52,2,1,1
676,25895,5138.06,2,1,1
677,11097,8949.43,3,1,1
678,18188,6732.99,2,1,1
679,18189,4550.68,2,1,1
680,17354,6662.67,2,1,1
681,25905,5081.71,2,1,1
682,14610,1622.79,2,1,1
683,17920,5230.79,2,1,1
684,14427,9338.64,3,1,1
685,28200,3953.99,1,1,1
686,14602,3481.34,2,1,1
687,17911,5192.13,2,1,1
688,14159,6552.9,2,1,1
689,28243,6697.22,2,1,1
690,28244,6659.07,2,1,1
691,28271,3953.99,1,1,1
692,28297,6598.32,2,1,1
693,14591,1658.46,2,1,1
694,14603,3352.65,2,1,1
695,11093,9038.9,3,1,1
696,11099,9078.67,3,1,1
697,17511,4586.34,2,1,1
698,17732,5251.79,2,1,1
699,14525,7365.47,3,1,1
700,14158,6604.3,2,1,1
701,13686,7175.03,3,1,1
702,28259,6761.06,2,1,1
703,28285,6627.05,2,1,1
704,11092,8961.57,3,1,1
705,17912,5251.79,2,1,1
706,17502,6708.0,2,1,1
707,25562,1369.19,2,1,1
708,14150,7409.68,3,1,1
709,28250,6648.04,2,1,1
710,18193,4580.82,2,1,1
711,17514,4577.16,2,1,1
712,17736,5240.73,2,1,1
713,13767,6530.79,2,1,1
714,14157,7348.91,3,1,1
715,14183,9195.05,3,1,1
716,29399,4349.8,2,1,1
717,28234,6603.83,2,1,1
718,25903,6379.21,2,1,1
719,11080,9065.44,3,1,1
720,17915,5295.97,2,1,1
721,14191,9172.95,3,1,1
722,11341,9052.16,3,1,1
723,28268,6627.05,2,1,1
724,28296,6627.05,2,1,1
725,28298,5335.06,2,1,1
726,28587,3953.99,1,1,1
727,11096,8909.66,3,1,1
728,17924,5230.79,2,1,1
729,17925,5192.13,2,1,1
730,17353,6669.34,2,1,1
731,17730,5251.21,2,1,1
732,17910,5192.13,2,1,1
733,29398,4380.74,2,1,1
734,28246,6603.83,2,1,1
735,28339,3953.99,1,1,1
736,25901,6401.32,2,1,1
737,14596,3376.93,2,1,1
738,17733,5257.86,2,1,1
739,28240,6628.46,2,1,1
740,28588,3953.99,1,1,1
741,17515,4578.3,2,1,1
742,13666,6520.11,2,1,1
743,19844,6417.76,2,1,1
744,28221,3953.99,1,1,1
745,28224,6648.04,2,1,1
746,28299,3953.99,1,1,1
747,11077,9026.78,3,1,1
748,11103,9041.66,3,1,1
749,25563,1369.19,2,1,1
750,28223,3953.99,1,1,1
751,28584,3953.99,1,1,1
752,11100,9030.62,3,1,1
753,13606,7951.12,4,1,1
754,28340,3953.99,1,1,1
755,28355,3953.99,1,1,1
756,11069,8954.98,3,1,1
757,17917,5230.79,2,1,1
758,17919,5230.79,2,1,1
759,17352,6653.89,2,1,1
760,17512,4608.45,2,1,1
761,13607,7143.86,3,1,1
762,19353,2652.1,2,1,1
763,28586,3953.99,1,1,1
764,17916,5290.45,2,1,1
765,17504,4820.83,2,1,1
766,13770,7103.19,3,1,1
767,14146,7459.37,3,1,1
768,28362,3953.99,1,1,1
769,28583,3953.99,1,1,1
770,17927,5222.27,2,1,1
771,17725,5192.13,2,1,1
772,14165,6531.16,2,1,1
773,28270,3953.99,1,1,1
774,28580,5296.4,2,1,1
775,28573,3953.99,1,1,1
776,26630,772.5,1,1,1
777,11076,9015.74,3,1,1
778,17909,5261.72,2,1,1
779,14195,9189.5,3,1,1
780,12261,6600.43,2,1,1
781,22118,4594.86,2,1,1
782,14599,3374.76,2,1,1
783,17370,5240.73,2,1,1
784,13697,7166.67,3,1,1
785,17478,5257.86,2,1,1
786,17914,5192.13,2,1,1
787,12265,6590.46,2,1,1
788,28264,6627.05,2,1,1
789,28293,3953.99,1,1,1
790,28294,3953.99,1,1,1
791,28295,3953.99,1,1,1
792,20164,3481.19,2,1,1
793,17923,5251.79,2,1,1
794,17926,5210.85,2,1,1
795,17513,4707.57,2,1,1
796,25560,1423.3,2,1,1
797,28196,6613.77,2,1,1
798,28247,6588.39,2,1,1
799,28288,6673.43,2,1,1
800,20150,3606.74,2,1,1
801,17918,5230.79,2,1,1
802,14155,6622.55,2,1,1
803,19340,4766.85,3,1,1
804,22120,6588.39,2,1,1
805,14613,1769.72,2,1,1
806,26640,1423.3,2,1,1
807,11070,9022.93,3,1,1
808,11075,8915.17,3,1,1
809,17734,5192.13,2,1,1
810,17735,5251.79,2,1,1
811,25561,1423.3,2,1,1
812,13685,7193.21,3,1,1
813,28255,6686.7,2,1,1
814,14601,3399.04,2,1,1
815,11101,9130.08,3,1,1
816,17913,5230.79,2,1,1
817,17922,5328.0,2,1,1
818,17726,5217.51,2,1,1
819,29391,4364.72,2,1,1
820,25891,6363.76,2,1,1
822,29668,472.31,1,1,1
823,29611,10277.1,3,1,1
824,29620,74518.69,12,1,1
825,30058,12543.49,8,1,1
826,29548,5112.81,4,1,1
829,29717,88435.34,7,1,1
831,29555,15378.02,5,1,1
833,30011,93877.18,11,1,1
835,29813,54905.15,4,1,1
836,29892,114722.08,9,1,1
837,29988,24594.0,8,1,1
838,29946,172785.86,8,1,1
839,29680,69588.44,8,1,1
840,29865,77139.59,12,1,1
841,29773,95924.02,4,1,1
842,29961,79847.82,10,1,1
843,29554,16912.92,8,1,1
844,30074,516254.8,8,1,1
845,30056,158661.45,4,1,1
846,29749,155077.55,4,1,1
847,29945,186803.43,11,1,1
848,29764,10131.48,8,1,1
850,29728,2002.16,2,1,1
851,29571,107313.1,12,1,1
852,30042,13583.52,11,1,1
853,29582,172671.12,4,1,1
855,29675,46795.98,12,1,1
856,29585,472.31,1,1,1
858,29624,486937.59,4,1,1
859,29569,24082.9,10,1,1
860,29703,465429.57,8,1,1
861,30100,99440.32,4,1,1
862,30091,99385.97,8,1,1
863,29925,182777.78,7,1,1
864,29664,48054.06,4,1,1
865,29510,141133.31,4,1,1
867,29558,51533.26,9,1,1
868,30111,311393.15,4,1,1
869,30010,1457.33,2,1,1
870,29861,460174.86,4,1,1
872,29493,6387.53,4,1,1
874,29515,326175.98,8,1,1
875,29794,80262.25,4,1,1
876,29583,3820.37,5,1,1
877,29541,4481.71,5,1,1
879,29830,38452.47,10,1,1
880,29742,156366.75,4,1,1
881,30004,122815.47,7,1,1
882,29807,77862.14,4,1,1
883,29930,2183.96,5,1,1
885,29866,45690.85,6,1,1
886,30022,35940.14,11,1,1
888,30012,12778.58,7,1,1
890,29906,98531.01,4,1,1
892,29507,502367.04,8,1,1
893,29968,168144.54,11,1,1
894,29588,17361.19,10,1,1
897,30095,257252.76,12,1,1
898,29731,58418.64,12,1,1
899,29791,62725.13,4,1,1
900,29785,2302.46,4,1,1
901,29787,167452.6,6,1,1
904,29853,350717.99,8,1,1
905,29756,9619.5,6,1,1
906,29774,197614.5,4,1,1
908,29688,10718.03,5,1,1
909,29511,163046.64,11,1,1
910,29885,435986.13,8,1,1
911,29448,3756.99,1,1,1
912,28664,5296.4,2,1,1
913,25917,5193.3,2,1,1
914,11107,9028.97,3,1,1
915,11110,8942.8,3,1,1
916,28660,3953.99,1,1,1
917,28667,4829.52,2,1,1
918,28653,3953.99,1,1,1
919,28662,5333.95,2,1,1
920,13782,7195.97,3,1,1
921,11108,8977.06,3,1,1
922,11134,5427.57,3,1,1
923,18210,6679.27,2,1,1
924,28671,4774.29,2,1,1
925,28790,3953.99,1,1,1
926,28794,3953.99,1,1,1
927,28627,3953.99,1,1,1
928,26683,1404.25,2,1,1
929,11104,9031.2,3,1,1
930,13795,4815.31,2,1,1
931,17987,2707.34,2,1,1
932,28761,3953.99,1,1,1
933,28645,3953.99,1,1,1
934,18250,6694.32,2,1,1
935,11124,8982.57,3,1,1
936,18238,6663.82,2,1,1
937,12290,6489.95,2,1,1
938,29400,4411.67,2,1,1
939,28792,3953.99,1,1,1
940,18243,6694.32,2,1,1
941,11117,9044.41,3,1,1
942,14702,7436.17,3,1,1
943,20167,3472.41,2,1,1
944,19364,4765.76,3,1,1
945,28672,4812.95,2,1,1
946,28772,3953.99,1,1,1
947,28774,3953.99,1,1,1
948,18200,4586.34,2,1,1
949,18220,6653.89,2,1,1
950,18241,6694.32,2,1,1
951,13778,4859.51,2,1,1
952,28675,3953.99,1,1,1
953,28628,3953.99,1,1,1
954,28650,3953.99,1,1,1
955,28654,3953.99,1,1,1
956,28655,3953.99,1,1,1
957,28666,5328.43,2,1,1
958,18205,6692.55,2,1,1
